created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 13 18:55:58 +0000 2023;1712905031031443872;"🎥 Kualitas permainan calon lawan timnas Indonesia di Piala Asia 2024, bulan Januari nanti 🔥🥶 https://t.co/oB4yNIa70L";76;371;195;2673;in;1222927522033094656;1712905031031443872;idextratime;https://twitter.com/idextratime/status/1712905031031443872
Fri Oct 13 00:34:37 +0000 2023;1712627869376274537;"🇮🇩 Satu kaki timnas Indonesia sudah berada di putaran selanjutnya, Kualifikasi R2 Piala Dunia 2026 setelah kemenangan telak 6-0 atas 🇧🇳Brunei Darussalam pada Leg 1 Kualifikasi R1 (12/10)  ✅️ Pada Kualifikasi R2, timnas Indonesia sudah ditunggu 🇮🇶Irak, 🇻🇳Vietnam, dan 🇵🇭Filipina… https://t.co/FUu21NpAJZ";56;320;742;3548;in;811427632336146433;1712627869376274537;Indostransfer;https://twitter.com/Indostransfer/status/1712627869376274537
Thu Oct 12 14:35:37 +0000 2023;1712477122818986451;"[BUAT YANG KETINGGALAN] ⚠️  Berikut cuplikan setengah lusin gol timnas Indonesia ke gawang Brunei Darussalam, pada Kualifikasi Piala Dunia 2026 babak pertama!  Dimas Drajad cetak hattrick, hingga Ramadhan Sananta sukses menjadi inspirasi di babak kedua. 🔥 https://t.co/Omv7mJwFUQ";21;90;463;3896;in;1156756781596495872;1712477122818986451;registaco;https://twitter.com/registaco/status/1712477122818986451
Thu Oct 12 14:10:32 +0000 2023;1712470813012873241;"Pemain Swansea City, Nathan Tjoe, nonton laga Timnas Indonesia vs Brunei di GBK. https://t.co/ZaVqFKBOA5";26;84;151;2654;in;110109093;1712470813012873241;indosupporter;https://twitter.com/indosupporter/status/1712470813012873241
Thu Oct 12 13:59:54 +0000 2023;1712468135461421339;"Setelah menari-nari di kotak penalti, Dimas Drajad sukses mencetak hattrick dan menambah keunggulan Indonesia menjadi 6-0.  #KitaGaruda #BersamaGaruda #GarudaMendunia #TimnasDay https://t.co/8Yj3DKjis7";40;81;271;1760;in;1678973209172152320;1712468135461421339;TimnasIndonesia;https://twitter.com/TimnasIndonesia/status/1712468135461421339
Thu Oct 12 13:58:33 +0000 2023;1712467796519776462;"Twit apresiasi untuk pencetak hat-trick malam ini, DIMAS DRAJAD. 🇮🇩👏👏  📸 @TimnasIndonesia https://t.co/ddqWbabSwD";43;205;440;5248;in;1222927522033094656;1712467796519776462;idextratime;https://twitter.com/idextratime/status/1712467796519776462
Thu Oct 12 13:56:29 +0000 2023;1712467277965377736;"#WCQualification FT : Indonesia 6-0 Brunei  ⚽ Dimas Drajad 7' 72' 90+1' ⚽ Rizky Ridho 12' ⚽ Ramadhan Sananta 62' 67' (P)  Mantap setengah lusin.. 🇮🇩  📸 @TimnasIndonesia https://t.co/0YXqCKPZ6s";141;416;610;3529;in;1222927522033094656;1712467277965377736;idextratime;https://twitter.com/idextratime/status/1712467277965377736
Thu Oct 12 13:55:47 +0000 2023;1712467101490065725;"Di saat semua pemain U19 eranya yang disebut akan menjadi generasi emas telah habis satu-satu dan tidak ada menembus tim nasional, Dimas Drajad tampil sebagai cahaya terakhir.  Tumpuan Timnas Indonesia, ujung tombak, si nomor 9 murni. Hattrick hari ini adalah bukti 🔥 https://t.co/yGhwd1xOBh";9;91;135;2374;in;1392892878314119170;1712467101490065725;The_RedsIndo;https://twitter.com/The_RedsIndo/status/1712467101490065725
Thu Oct 12 06:07:08 +0000 2023;1712349162103341213;"Hari ini, perjalanan Timnas Indonesia menuju Piala Dunia 2026 akan dimulai! 🇮🇩  Indonesia akan menggunakan patch FIFA World Cup 2026 di lengan malam hari ini! 😍 https://t.co/3jIUmA0ue5";42;119;357;5102;in;1222927522033094656;1712349162103341213;idextratime;https://twitter.com/idextratime/status/1712349162103341213
Thu Oct 12 03:57:17 +0000 2023;1712316481047011713;"Dicengin pemain timnas futsal Afghanistan.. 😭 https://t.co/8qyiOZ0qr3";77;446;186;3703;in;1222927522033094656;1712316481047011713;idextratime;https://twitter.com/idextratime/status/1712316481047011713
Wed Oct 11 11:18:01 +0000 2023;1712065008245608935;"🚨🇮🇩 𝐁𝐑𝐄𝐀𝐊𝐈𝐍𝐆: Shin Tae-yong Pastikan 2 Pemain Timnas Indonesia Absen vs Brunei Darussalam!  Pemain yang dimaksud adalah,  • Rafael Struick (Cedera) • Marselino Ferdinan (Cedera)  📝@BolaNusantaraID  📸@TimnasIndonesia https://t.co/FrtZdsJHzD";94;105;85;2093;in;1316071146;1712065008245608935;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1712065008245608935
Tue Oct 10 23:37:17 +0000 2023;1711888664584941591;"🚨 Brahim Díaz telah memilih bermain untuk timnas Maroko, terlepas membela timnas Spanyol saat masih junior. 🇲🇦  Kini Díaz tinggal menunggu penyelesaian berkas administrasi. Real Madrid akan kehilangan Díaz saat Piala Afrika pada bulan Januari-Februari 2024. 🌍  📰: @marca https://t.co/q3or6w9CGk";29;122;169;3942;in;1222927522033094656;1711888664584941591;idextratime;https://twitter.com/idextratime/status/1711888664584941591
Mon Oct 09 14:40:53 +0000 2023;1711391285733695627;"GOKILL! 🇮🇩 Perjuangan luar biasa dari timnas futsal Indonesia, sempat tertinggal 5-1, Indonesia terus mencoba mengejar. Dan akhirnya skor berakhir imbang 7-7!! Lumayan bisa dapat poin cuyy...  Laga terakhir kualifikasi, Indonesia akan ketemu tuan rumah Arab Saudi (11 Oktober).… https://t.co/w7hdxXRFWX";127;293;755;7437;in;1316071146;1711391285733695627;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1711391285733695627
Mon Oct 09 14:06:14 +0000 2023;1711382567260422534;"STY KESAL! 😤  Shin Tae-yong menumpahkan rasa kesalnya pada latihan perdana timnas Indonesia jelang melawan Brunei Darussalam. Ia marah karena ada sejumlah pemain yang telat datang ke agenda tersebut!  "Karena ada beberapa pemain yang terlambat datang ke TC [pemusatan latihan]… https://t.co/sawyAui34n";235;548;603;5913;in;27197792;1711382567260422534;GOAL_ID;https://twitter.com/GOAL_ID/status/1711382567260422534
Sun Oct 08 12:46:30 +0000 2023;1711000113064362192;"🎥 Momen saat Hansi Flick mengamuk di ruang ganti timnas Jerman ketika mereka hanya unggul 1-0 dari Kosta Rika di Piala Dunia 2022 kemarin. 🔥😳  Untungnya timnas Jerman berhasil menang dengan skor 4-2, meski sempat tertinggal 1-2 di babak kedua. 😮‍💨 https://t.co/2xFSVJUt5e";38;91;242;1693;in;1222927522033094656;1711000113064362192;idextratime;https://twitter.com/idextratime/status/1711000113064362192
Sat Oct 07 14:42:10 +0000 2023;1710666834968814032;"Selusin! Timnas Indonesia berhasil menang 12-0 lawan Macau di kualifikasi AFC Futsal Asian Cup 2024. Modal yang bagus. Laga selanjutnya Indonesia akan bertemu Afghanistan dan Arab Saudi.  Gede bener skor nya, kayak skor futsal https://t.co/MTPrxCrC8k";16;63;182;2718;in;1316071146;1710666834968814032;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1710666834968814032
Fri Oct 06 14:17:21 +0000 2023;1710298201549402393;"Dibandingkan sebelum-sebelumnya, sekarang lebih antusias nonton Timnas Indonesia main daripada nonton Liga.  Ada yang sama? https://t.co/85SUmguJja";101;400;341;4204;in;110109093;1710298201549402393;indosupporter;https://twitter.com/indosupporter/status/1710298201549402393
Tue Sep 26 07:38:40 +0000 2023;1706573991933247903;"Teman-teman pecinta voli, mari kita doakan Timnas kita (meskipun tidak disiarkan) tengah bertanding melawan Korea Selatan. Jika kita menang, Indonesia berada di peringkat ke-7 Asia. Kita punya potensi untuk menang *SBY*";164;322;507;3741;in;1307120064;1706573991933247903;SBYudhoyono;https://twitter.com/SBYudhoyono/status/1706573991933247903
Tue Sep 26 04:58:31 +0000 2023;1706533689025560706;"🚨🇮🇩🇰🇷 𝐁𝐑𝐄𝐀𝐊𝐈𝐍𝐆: Pratama Arhan menuju Korea?  Per @KORFootballNews, Suwon FC (Tier 1 / K League 1) akan menandatangani bek Timnas Indonesia, Pratama Arhan dari Tokyo Verdy pada Bursa Transfer bulan Januari mendatang.   📝Sports Chosun https://t.co/zt2Ja2YmXL";115;198;426;4920;in;1316071146;1706533689025560706;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1706533689025560706
Thu Sep 21 14:08:35 +0000 2023;1704860177009401946;"SEBUAH ATURAN ANEH!   Seharusnya Timnas Kriket Putri Indonesia bertanding melawan Pakistan di perempat final Asian Games 2022.  Tetapi pertandingan batal karena hujan deras. Pertandingan dianggap tak ada hasil. Akhirnya, penyelenggara memutuskan Pakistan melaju ke semifinal krn… https://t.co/Lyqz4OGR4b";289;508;962;4161;in;132276059;1704860177009401946;ainurohman;https://twitter.com/ainurohman/status/1704860177009401946
Tue Sep 19 13:32:00 +0000 2023;1704126194571194562;"Berawal dari serangan balik, Hugo Samir sukses menciptakan gol kedua untuk Indonesia.  Terus melaju, Garuda! 🦅🇮🇩  #KitaGaruda #TimnasDay #GarudaMendunia https://t.co/WfoCfbDvz3";134;182;868;6281;in;1678973209172152320;1704126194571194562;TimnasIndonesia;https://twitter.com/TimnasIndonesia/status/1704126194571194562
Tue Sep 19 13:06:37 +0000 2023;1704119807912865947;"Tendangan Ramai Rumakiek dari luar kotak penalti sukses memberikan gol pertama untuk Indonesia.  Terus melaju, Garuda! ✊🇮🇩  #KitaGaruda #TimnasDay #GarudaMendunia https://t.co/PWukaBz4DT";49;54;654;4527;in;1678973209172152320;1704119807912865947;TimnasIndonesia;https://twitter.com/TimnasIndonesia/status/1704119807912865947
Thu Sep 14 01:25:36 +0000 2023;1702131449795916144;"Sampai sekarang masih gak percaya bahwa coach 🇰🇷STY pernah bicara di podcast Close The Door (2022), alasan beliau memilih Timnas 🇮🇩Indonesia dibandingkan tawaran menggiurkan dari klub Liga Korsel atau Liga China.   STY berujar bahwa setiap individu harus punya cita-cita &amp  masa… https://t.co/TtreZ2Wfcj";60;257;857;6147;in;143446480;1702131449795916144;labiebsadat;https://twitter.com/labiebsadat/status/1702131449795916144
Wed Sep 13 10:55:05 +0000 2023;1701912378596888745;"📊🇮🇩Marselino Fedinan menjadi satu-satunya pemain yang Cetak Gol dan loloskan Timnas Indonesia ke 4 Piala Asia yang berbeda!  • Kualifikasi Piala Asia U-16 2020 = 7 Gol ✅ • Kualifikasi Piala Asia U-20 2023 = 3 Gol ✅ • Kualifikasi Piala Asia 2024 = 2 Gol ✅ • Kualifikasi… https://t.co/LK8MkvJu27";61;119;581;5417;in;1316071146;1701912378596888745;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1701912378596888745
Wed Sep 13 09:52:56 +0000 2023;1701896735315099943;"Timnas Indonesia tadi malam itu menang karena settingan,  Nih lihat Jan Ethes Srinarendra malah main PES  “Kotak kotak kotak, ojo segitiga! Opo meneh bunder.” https://t.co/s6hr7nCMXU";181;250;1100;7855;in;2794327166;1701896735315099943;MafiaWasit;https://twitter.com/MafiaWasit/status/1701896735315099943
Wed Sep 13 01:06:17 +0000 2023;1701764202262851769;"✅ RESMI: 16 tim yg akan mengikuti Piala Asia U23 2024! 🇮🇩  Timnas Indonesia tergabung di Pot 4.  Untuk fase grup, Indonesia akan berhadapan dgn satu tim dari Pot 1, satu tim dari Pot 2, dan satu tim dari Pot 3.  Kira-kira Indonesia akan satu grup dengan siapa?  Tanggal drawing… https://t.co/BWVylLOMOv";132;859;481;4672;in;1316071146;1701764202262851769;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1701764202262851769
Tue Sep 12 15:30:28 +0000 2023;1701619292830306652;"Apresiasi untuk pemain dan seluruh staf pelatih timnas Indonesia U-23. 🇮🇩👏👏 https://t.co/SjUa9e7xba";32;80;728;5952;in;1222927522033094656;1701619292830306652;idextratime;https://twitter.com/idextratime/status/1701619292830306652
Tue Sep 12 14:53:06 +0000 2023;1701609889074999323;"Siapa pernah menyangka timnas Indonesia lolos Piala Asia? Rasanya sulit dan hanya menjadi mimpi semata. Tapi, di tangan Shin Tae-yong, semuanya berbalik menjadi nyata.  Mulai dari kelompok umur U-20, U-23, dan timnas senior berhasil dibawa lolos ke Piala Asia oleh STY.  Hormat! https://t.co/O1l7GI1TGM";49;112;588;5635;in;1156756781596495872;1701609889074999323;registaco;https://twitter.com/registaco/status/1701609889074999323
