,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,148485,93,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
1,Counting Stars,Native,OneRepublic,2014-01-01,257840,78,0.664,0.0654,0.705,0.0,0.115,-4.972,0.0382,122.017,4
2,Sunshine,Sunshine,OneRepublic,2021-11-10,163854,82,0.697,0.137,0.875,0.0,0.28,-4.621,0.034,140.069,4
3,Good Life,Waking Up,OneRepublic,2009-01-01,253306,75,0.634,0.0771,0.69,0.0,0.132,-7.804,0.052,94.988,4
4,Secrets,Waking Up,OneRepublic,2009-01-01,224693,77,0.516,0.0717,0.764,0.0,0.115,-6.223,0.0366,148.021,4
5,Run,Human (Deluxe),OneRepublic,2021-08-27,168259,77,0.682,0.321,0.72,0.0,0.205,-8.176,0.0382,116.988,4
6,Apologize,Dreaming Out Loud,OneRepublic,2007-01-01,208106,71,0.593,0.363,0.74,2.22e-05,0.102,-6.12,0.0339,118.008,4
7,Counting Stars,Native,OneRepublic,2013-01-01,257265,86,0.664,0.0654,0.705,0.0,0.118,-4.972,0.0382,122.016,4
8,Run,Run,OneRepublic,2021-05-05,169010,75,0.682,0.326,0.72,0.0,0.148,-8.173,0.0381,117.003,4
9,Someday,Human (Deluxe),OneRepublic,2021-08-27,187888,75,0.576,0.0311,0.679,0.0,0.323,-7.237,0.034,121.005,4
10,Love Runs Out,Native,OneRepublic,2014-01-01,224226,66,0.719,0.167,0.935,0.0,0.0973,-3.752,0.0589,120.022,4
11,I Lived,Native,OneRepublic,2014-01-01,234546,69,0.599,0.0746,0.854,0.0,0.278,-5.429,0.0436,119.986,4
12,Secrets,Clásicas para aprender inglés,Various Artists,2023-05-19,224680,4,0.517,0.0734,0.762,0.0,0.116,-6.224,0.0361,148.019,4
13,Counting Stars,Pop Songs,Various Artists,2019-09-20,256760,41,0.659,0.072,0.741,0.0,0.166,-4.354,0.0388,122.013,4
14,West Coast,West Coast,OneRepublic,2022-02-25,192947,72,0.685,0.317,0.699,0.0,0.0895,-7.803,0.0349,134.057,4
15,Sunshine,Sommerparty 2023,Various Artists,2023-05-24,164880,0,0.688,0.134,0.892,0.0,0.28,-4.242,0.0341,140.045,4
16,Rescue Me,Human (Deluxe),OneRepublic,2021-08-27,159650,71,0.761,0.157,0.606,0.0,0.574,-7.742,0.0424,121.038,4
17,I Ain't Worried,Brunch & Pop,Various Artists,2023-05-26,148485,0,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
18,Wherever I Go,Oh My My,OneRepublic,2016-12-02,169773,64,0.54,0.1,0.675,0.0,0.237,-6.449,0.0429,99.97,4
19,Sunshine,Mood: Asado,Various Artists,2023-05-26,164880,0,0.688,0.134,0.892,0.0,0.28,-4.242,0.0341,140.045,4
20,Connection,Connection,OneRepublic,2018-06-26,148459,63,0.611,0.000837,0.602,0.0,0.112,-4.89,0.0437,168.154,4
21,Lose Somebody,Golden Hour,Kygo,2020-05-29,199549,72,0.58,0.344,0.586,0.0,0.0755,-6.883,0.0357,147.988,4
22,All The Right Moves,Waking Up,OneRepublic,2009-01-01,238000,68,0.529,0.258,0.948,9.35e-06,0.283,-3.527,0.0474,146.024,4
23,RUNAWAY,RUNAWAY,OneRepublic,2023-05-26,143264,40,0.624,0.0336,0.684,0.0,0.0771,-5.507,0.0513,163.033,4
