,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,Tak Segampang Itu,Anggi Marito,2022-12-02,231100,89,0.506,0.759,0.438,8.64e-06,0.109,-7.069,0.0268,129.538,4
1,4MrfQarlWb9JspRGRVki2x,Cara Mencintaimu,Cara Mencintaimu,Anggi Marito,2021-11-12,272400,63,0.504,0.88,0.291,2.91e-06,0.0961,-8.73,0.0282,128.104,4
2,3HQgtw9EiCBPXsTQPrO2ZF,Tak Ingin Kau Terluka,Tak Ingin Kau Terluka,Anggi Marito,2023-04-28,249100,64,0.313,0.796,0.258,1.03e-05,0.227,-9.568,0.0332,83.658,3
3,356SS2KraT3fSKZRYCuKVX,Angry,Mad Season,Matchbox Twenty,2000-05-23,224866,39,0.514,0.0357,0.818,9.34e-05,0.348,-6.166,0.0359,116.064,4
4,5Nuf5uErDlIRWUYHiXKpXN,Keeping Time,Salt,Angie McMahon,2019-07-26,211760,33,0.694,0.0404,0.712,0.00314,0.104,-7.258,0.0344,114.339,4
5,3DajClLyfLjoIXcnzSQbpj,Missing Me,Salt,Angie McMahon,2019-07-26,199880,35,0.429,0.269,0.396,7.94e-05,0.0955,-8.41,0.057,99.155,4
6,45whF6K6Mo1s3RPb6cUrdB,Pasta,Salt,Angie McMahon,2019-07-26,278453,35,0.458,0.221,0.452,0.0,0.0851,-7.699,0.0669,140.665,4
7,1XK8UvjHKNkrrfsXnTaQ4A,Hymn of the High Seas,"Hymn of the High Seas, Vol. 1",Antti Martikainen,2018-09-08,464626,37,0.172,0.000116,0.71,0.941,0.357,-7.669,0.0458,114.947,4
8,3RZEfABCktyTnTGvdjF2Cs,Angy Memories,A Simple Mix Up,Dr Lyon,2021-12-03,51250,17,0.376,0.00671,0.837,0.462,0.0892,-11.012,0.046,109.985,4
9,0kc1vweic9lV17tc66Emhi,Angi,Night Terrors,Matt Berry,2017-11-17,168523,16,0.61,0.00708,0.529,0.811,0.1,-15.94,0.0317,145.993,4
10,3w5GuogWrplcQ5YKQssCrk,Total Eclipse of the Heart,Total Eclipse of the Heart,Angie McMahon,2021-04-22,318692,28,0.698,0.466,0.275,0.577,0.0991,-12.814,0.0268,129.987,4
11,3nk8GaGDmPEAY3ObXxRhsm,Angie (Cover),Sunday Night Sessions,Passenger,2017-07-02,194717,35,0.523,0.513,0.365,0.00398,0.136,-10.393,0.0312,131.793,4
12,6mu2EB2wVGbA3ypSoX4Xrt,Agi Maia Se Matagi,Agi Maia Se Matagi,Puni,2022-12-02,208000,27,0.813,0.0664,0.545,0.0,0.0607,-8.088,0.0351,119.923,4
13,7nToSZM36WZ3UEqx29Hzmu,Play The Game,Salt,Angie McMahon,2019-07-26,250440,24,0.556,0.911,0.0575,6.83e-05,0.273,-13.719,0.0362,84.054,4
14,6NfSc9e7Fad3n5AErBZX81,Born To Die (piano),Piano Salt,Angie McMahon,2020-10-02,265583,24,0.413,0.948,0.123,1.02e-06,0.0919,-12.329,0.0392,104.247,5
15,6tP7OQ4gQ1mp9haJPmhm8u,Angie,The Margos,The Margos,2022-03-25,206301,16,0.495,0.436,0.595,4.58e-06,0.348,-6.501,0.0269,83.002,4
